"","Jan","Feb","Mar","Apr","May","Jun","Jul","Aug","Sep","Oct","Nov","Dec"
"2003",6722.3,5507.8,4912.4,5956.5,7020.6,5192.5,5190.6,5974.2,6784.9,5686.3,5451.3,6205.1
"2004",6195.2,5293.4,5091.1,6435,6479.3,5090.1,5231.6,6416.4,6122.2,5574.7,5408.8,6561.7
"2005",6123.2,4927.5,5247.3,6471.8,6639.8,5014.3,5462.4,6415.3,6582.7,5243.4,5409.4,6790.8
"2006",5520.5,4773.3,5874.2,6766.3,6097.3,5032.9,6060.1,6752.7,5729.9,5254.8,6137.8,7511.5
"2007",4906.3,4933.9,6437.5,6168.6,5631.3,5059,6123.9,6839.5,5478.3,5263.5,6222.4,6420.3
"2008",4707.2,5138.2,6759.4,6532.5,5325,5216.8,6911.7,6273.5,5100.8,5429.2,6292.2,6556.2
"2009",4725.9,5791.6,7336.1,5695.4,5362.6,6006.7,6839.2,5739,5148.9,5990.6,6972.3,6002.9
"2010",4769.5,6256.3,6493.9,5640.1,5287.3,6087.8,6299,5465.1,5286.6,6102.1,6238,5795.9
"2011",4972.2,6576.7,6828.1,5340.8,5586,6492.2,6439,5208.5,5390.5,6306.9,6446.8,5455.5
"2012",5951.2,6692.7,5654.7,5217,6105.1,6963.8,5537.2,5154.6,6002.8,6689.8,5804.2,5218.2
"2013",6055.1,6326,5428.7,5374.3,6223.7,6242.4,5546.8,5239.4,6244.3,6209,5743.7,5556
"2014",6364.9,6551.7,5270.8,5490.1,6291.2,6461.9,5232,5277.4,6305.4,6436.7,5343.9,5704.6
"2015",6812.4,5614.3,5152.1,6252.6,6925.2,5633.7,5144.4,5965.8,6616.9,5813.7,5264.6,6244.9
"2016",6187.7,5394.5,5296.8,6748.8,6161.7,5490.6,5350.5,6146.8,5986,5542.5,5460,6635.6
"2017",6417,5054,5332.2,6818.8,6327,5189.1,5322.5,6390.9,6167.6,5400.8,5587.3,6716.7
